city,country,province,reviews.rating,Lodging,Hotel,Motel,Meal
1,1,1,4.0,1,1,0,3
1,1,1,5.0,1,1,0,3
1,1,1,5.0,1,1,0,3
1,1,1,5.0,1,1,0,3
1,1,1,5.0,1,1,0,3
1,1,1,5.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,3.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,3.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,1.0,1,1,0,3
1,1,1,1.0,1,1,0,3
1,1,1,5.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,5.0,1,1,0,3
1,1,1,5.0,1,1,0,3
1,1,1,5.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,5.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,3.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,5.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,5.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,5.0,1,1,0,3
1,1,1,3.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,2.0,1,1,0,3
1,1,1,3.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,5.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,4.0,1,1,0,3
1,1,1,5.0,1,1,0,3
1,1,1,5.0,1,1,0,3
1,1,1,4.0,1,1,0,3
2,1,2,0.0,0,1,1,3
3,1,3,0.0,1,1,0,3
4,1,4,0.0,1,1,0,3
5,1,3,5.0,1,1,0,3
5,1,3,5.0,1,1,0,3
5,1,3,5.0,1,1,0,3
5,1,3,5.0,1,1,0,3
5,1,3,5.0,1,1,0,3
5,1,3,5.0,1,1,0,3
5,1,3,5.0,1,1,0,3
5,1,3,5.0,1,1,0,3
5,1,3,5.0,1,1,0,3
5,1,3,5.0,1,1,0,3
5,1,3,4.0,1,1,0,3
5,1,3,5.0,1,1,0,3
5,1,3,5.0,1,1,0,3
5,1,3,5.0,1,1,0,3
5,1,3,5.0,1,1,0,3
5,1,3,5.0,1,1,0,3
5,1,3,4.0,1,1,0,3
5,1,3,5.0,1,1,0,3
5,1,3,5.0,1,1,0,3
5,1,3,0.0,1,1,0,3
5,1,3,4.0,1,1,0,3
6,1,4,4.0,0,1,1,3
6,1,4,1.0,0,1,1,3
6,1,4,5.0,0,1,1,3
6,1,4,4.0,0,1,1,3
6,1,4,2.0,0,1,1,3
6,1,4,5.0,0,1,1,3
6,1,4,5.0,0,1,1,3
6,1,4,4.0,0,1,1,3
6,1,4,4.0,0,1,1,3
6,1,4,4.0,0,1,1,3
6,1,4,1.0,0,1,1,3
